"We were not able to add to cart items that you had saved previously, because both current and previous cart contain gifts.","We were not able to add to cart items that you had saved previously, because both current and previous cart contain gifts."
"Promotional item cannot be edited","Promotional item cannot be edited"
"Quantity of promotional item cannot be increased.","Quantity of promotional item cannot be increased."
"SKU in cart","SKU in cart"
"Subtotal including tax","Subtotal including tax"
"Add a gift","Add a gift"
"Add a gift once","Add a gift once"
"Gift SKUs","Gift SKUs"
"Gift SKUs discounts","Gift SKUs discounts"
"Gift SKUs QTYs","Gift SKUs QTYs"
